Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0805,2,10uF,
"C10, C9",0402,2,22nF,
"C14, C15",0402,2,18pf,
"C2, C3, C4, C5",0402,4,1uF,
"C7, C8",1210,2,100uF,
F1,0805,1,Polyfuse,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3,
"R1, R2",0402,2,16Ω,
R3,0805,1,3.3kΩ,
R4,0402,1,10kΩ,
R5,0402,1,1MΩ,
"R6, R7",0402,2,5.1k,
U1,SOP65P780X200-28N,1,PCM2704CDB,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
